               litter            soil            
Boreal         3.88687568780109  18.8683241893377
Desert         0.746148433267885 2.86526625732506
DesertCold     2.62064458930969  14.5823509719722
Semiarid       0.69441637697327  2.96042199063562
TemperateDry   1.35661603877265  5.46597050441603
TemperateHumid 2.42228260690226  7.65517258464222
TropicalDry    2.43928896147193  6.94354748901181
TropicalHumid  4.25136718377065  9.40728142798435
Tundra         1.59927468386665  13.9221659274948
Unproductive   0.772297030154478 7.24884887472533
