               litter            soil             
Boreal         0.987785688501002 12.1875523777904 
Desert         0.277105842587227 2.47415274937053 
DesertCold     0.935420464754768 9.87688891220714 
Semiarid       0.404306963325357 3.89686214543124 
TemperateDry   0.471684052248697 6.00559114092345 
TemperateHumid 0.689105683573627 8.65132610611309 
TropicalDry    1.19816265778504  9.10656990039907 
TropicalHumid  1.62226212438894  10.064720168682  
Tundra         0.351708982453633 4.93579641482898 
Unproductive   0.1342237312558   0.922476611725783
