               const             tmp                 ppm                
Tundra         -1.26118000716187 0.204537453510552   0.00603385873720595
Boreal         2.52436969237225  0.0530566724442777  0.00906746080503799
DesertCold     1.62849488696317  0.0241886626308201  0.00520395118305793
TemperateDry   3.7182020902965   -0.169453885711523  0.00667042160271208
TemperateHumid 7.54555338113661  -0.313158189716635  0.00900445745037401
Desert         0.873658190745832 -0.0350851234425966 0.00223181670947473
Semiarid       1.99377019669535  -0.111190664048941  0.00694666214016801
TropicalDry    11.2349814736159  -0.536614483423837  0.029451900420368  
TropicalHumid  22.8464119886451  -0.994291183080447  0.0380997786370806 
Unproductive   -1.37153513622257 0.142646136002318   0.00121772798297967
