               litter            soil            
Boreal         4.29060975169614  18.9913589968237
Desert         0.869459001425567 3.57152493920712
DesertCold     2.36809346057639  14.7487411400705
Semiarid       0.717354153071736 4.55030960252713
TemperateDry   1.42211007291333  5.84969707670789
TemperateHumid 2.26315705884127  7.28247784051312
TropicalDry    2.00170785880261  6.50125908950833
TropicalHumid  3.51417828998618  7.8636192194857 
Tundra         2.9588490976522   19.7085448217078
Unproductive   0.98595484334442  10.2061494334754
