               litter             soil             
Boreal         1.04221079353235   13.1156113335721 
Desert         0.304759902232413  2.80822344786409 
DesertCold     0.85622973327563   9.14879886865664 
Semiarid       0.512125841086209  4.50097520343748 
TemperateDry   0.528402045131797  6.51827344421462 
TemperateHumid 0.678020810140993  9.20471034389674 
TropicalDry    1.23309867038728   9.2995474469986  
TropicalHumid  1.76067481839753   10.2783428154671 
Tundra         0.306558651386225  4.47323413656816 
Unproductive   0.0963263719257806 0.526217841096253
