               litter            soil            
Boreal         4.32925690017463  20.5388363956352
Desert         0.834312654957189 3.03534831974035
DesertCold     2.33391168678592  13.3121141069643
Semiarid       0.873342945771374 3.12392835390158
TemperateDry   1.52256018138251  5.69955780695576
TemperateHumid 2.55871722903196  7.8490698170635 
TropicalDry    2.45926038739475  7.1533267506902 
TropicalHumid  5.18170562306912  10.3405406665472
Tundra         1.53618237520062  11.8764301818179
Unproductive   0.546813234892444 3.89650500522903
